metric,value
snapshot_time,10.0
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,0
num_tier_medium,21
num_tier_low,79
num_samples_ok,0
num_samples_used_for_stats,100
contact_angle_all_mean_deg,82.70765351275077
contact_angle_all_q1_deg,79.04819330575933
contact_angle_all_median_deg,80.93694585661393
contact_angle_all_q3_deg,88.39519946237603
contact_angle_all_min_deg,30.097684459011056
contact_angle_all_max_deg,118.4345979867133
contact_angle_high_medium_mean_deg,82.3430082091354
contact_angle_high_medium_q1_deg,80.81187610239121
contact_angle_high_medium_median_deg,82.36310755676193
contact_angle_high_medium_q3_deg,83.47454137081733
contact_angle_high_medium_min_deg,79.58198323116187
contact_angle_high_medium_max_deg,85.2467388310422
contact_angle_low_mean_deg,82.80458454282575
contact_angle_low_q1_deg,77.93499920077409
contact_angle_low_median_deg,80.28587855532399
contact_angle_low_q3_deg,89.23009351613803
contact_angle_low_min_deg,30.097684459011056
contact_angle_low_max_deg,118.4345979867133
contact_angle_mean_deg,82.70765351275077
contact_angle_q1_deg,79.04819330575933
contact_angle_median_deg,80.93694585661393
contact_angle_q3_deg,88.39519946237603
contact_angle_min_deg,30.097684459011056
contact_angle_max_deg,118.4345979867133
bias_all_vs_theta_nominal_deg,12.707653512750767
