snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
1.5,-3.11017672705,-178.2,0.00441952976716,0.248720456216,76.0327772397,73.6228080158,78.814354549,5.1915465332,286.372208494,756.099546613,4.03132911907,58,48,0.000320064136758,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-3.04734487398,-174.6,0.00442400238842,0.235585295303,76.7436730475,74.4624738454,78.3856197163,3.9231458709,257.397004011,756.099546613,4.42756485191,57,57,0.000328129855916,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.98451302091,-171,0.00442723643721,0.23123519626,76.9800378329,75.2832194906,78.4171957854,3.13397629483,260.946419539,756.099546613,4.25285346733,53,53,0.000328100519255,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.92168116784,-167.4,0.00443010466231,0.235262119095,76.7612173018,74.8666899409,78.3649875421,3.49829760124,306.184827317,756.099546613,3.79328739766,50,50,0.00032986421138,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.85884931477,-163.8,0.0044332410107,0.233033049991,76.8822953964,74.6853672987,78.9613131865,4.27594588784,310.474012986,756.099546613,4.01010575646,48,48,0.000329711474478,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.79601746169,-160.2,0.00443647830545,0.240910484846,76.4549511464,74.5411601952,78.3557496279,3.81458943264,305.148082403,756.099546613,3.68544607303,48,48,0.000327374786139,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.73318560862,-156.6,0.00443931061775,0.246467520537,76.1544047982,74.3047097515,78.0378035141,3.73309376259,295.289289564,756.099546613,3.48815367871,50,50,0.000330350128934,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.67035375555,-153,0.00444135426166,0.244975632953,76.2350163937,72.4198744632,78.1185327349,5.69865827175,297.326834928,756.099546613,3.42689508497,49,49,0.000330350128934,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.60752190248,-149.4,0.00444332039049,0.240068800312,76.500539501,75.0025816808,78.1907103297,3.18812864886,314.32859691,756.099546613,3.57664881518,50,50,0.000330350128934,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.54469004941,-145.8,0.00444473681524,0.232258913848,76.9243727285,75.2706724069,78.8356868417,3.56501443481,330.078345662,756.099546613,3.72194431295,49,49,0.000330561073497,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.48185819634,-142.2,0.00444568818797,0.225551272465,77.2895564447,75.8182254536,79.0149550983,3.1967296447,332.670769673,756.099546613,3.85968193009,48,48,0.000330931739882,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.41902634326,-138.6,0.00444747720298,0.230965430163,76.9947106551,75.0850066996,78.528236186,3.44322948636,323.010641382,756.099546613,3.69651333499,47,47,0.000330931739882,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.35619449019,-135,0.00444859424636,0.228905451885,77.1068118595,74.3351150625,78.5823285811,4.24721351858,286.148228279,756.099546613,3.7448631252,49,49,0.000315418699756,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.29336263712,-131.4,0.00444977329154,0.228595539102,77.123685605,74.7479984949,78.6414982984,3.89349980346,331.395831108,756.099546613,3.76370701764,47,47,0.000330585055053,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.23053078405,-127.8,0.0044500235717,0.215426390658,77.8427708908,75.2257087373,79.5718676491,4.34615891176,350.56694018,756.099546613,4.27204089656,48,48,0.000331044662744,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.16769893098,-124.2,0.00445139212194,0.219535699326,77.6179582939,75.6624691318,79.5290465224,3.86657739054,353.731835674,756.099546613,4.18963429972,50,50,0.000331044662744,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.10486707791,-120.6,0.00445226470547,0.224535263871,77.3449633898,75.4072286654,79.2649200725,3.85769140708,348.662489882,756.099546613,4.00000589669,49,49,0.000330707989633,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-2.04203522483,-117,0.00445248512375,0.223827146546,77.3835940531,74.7689991741,79.0656969651,4.29669779105,336.359759555,756.099546613,3.98465450322,49,49,0.000330735463649,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.97920337176,-113.4,0.0044526809229,0.220207740477,77.581228808,75.9097971235,79.1585372879,3.24874016435,335.494165839,756.099546613,4.20129619153,50,50,0.000330735463649,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.91637151869,-109.8,0.00445297703139,0.221450756277,77.5133208265,76.178246813,79.5092926065,3.33104579354,356.61534446,756.099546613,4.13038339121,49,49,0.000327014597133,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.85353966562,-106.2,0.00445254005644,0.218243695583,77.688600012,76.0002938113,79.2108460008,3.21055218948,368.818687194,756.099546613,4.18681163763,49,49,0.000329442787915,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.79070781255,-102.6,0.00445281971768,0.226051330959,77.2622951543,75.5656252422,78.9170921611,3.35146691891,367.438692374,756.099546613,3.87050241463,50,50,0.000329817645252,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.72787595947,-99,0.00445278400605,0.226396414915,77.2434859057,75.5221171898,78.9639902881,3.44187309832,388.326637923,756.099546613,3.9130454215,49,49,0.000326714711264,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.6650441064,-95.4,0.00445240261976,0.229600894021,77.0689555748,75.887920863,78.5283627317,2.64044186872,375.548952257,756.099546613,3.86690713651,48,48,0.000326714711264,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-1.60221225333,-91.8,0.00445214684877,0.235074843206,76.7713850978,75.5158517185,77.8314435018,2.31559178334,310.792443715,756.099546613,3.73849638521,50,50,0.000290649710223,high,high,local_quadratic,0,0,0,0,0,1,1
