metric,value
snapshot_time,1.0
quality_profile,balanced
theta_nominal_deg,70.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,61
num_tier_medium,29
num_tier_low,10
num_samples_ok,61
num_samples_used_for_stats,100
contact_angle_all_mean_deg,84.64961378487884
contact_angle_all_q1_deg,83.73942566376704
contact_angle_all_median_deg,84.40965075997859
contact_angle_all_q3_deg,85.87279629350736
contact_angle_all_min_deg,82.85375156415982
contact_angle_all_max_deg,87.07110271158407
contact_angle_high_mean_deg,83.88243165666091
contact_angle_high_q1_deg,83.20907496696397
contact_angle_high_median_deg,83.95872692873039
contact_angle_high_q3_deg,84.37750629634327
contact_angle_high_min_deg,82.85375156415982
contact_angle_high_max_deg,85.21279509258835
contact_angle_high_medium_mean_deg,84.44677383230733
contact_angle_high_medium_q1_deg,83.58912287916397
contact_angle_high_medium_median_deg,84.35909295215275
contact_angle_high_medium_q3_deg,85.11437426198364
contact_angle_high_medium_min_deg,82.85375156415982
contact_angle_high_medium_max_deg,87.01191224524068
contact_angle_low_mean_deg,86.47517335802242
contact_angle_low_q1_deg,85.94224096630128
contact_angle_low_median_deg,86.88712633316909
contact_angle_low_q3_deg,86.98356204305375
contact_angle_low_min_deg,85.15691976417712
contact_angle_low_max_deg,87.07110271158407
contact_angle_mean_deg,84.64961378487884
contact_angle_q1_deg,83.73942566376704
contact_angle_median_deg,84.40965075997859
contact_angle_q3_deg,85.87279629350736
contact_angle_min_deg,82.85375156415982
contact_angle_max_deg,87.07110271158407
bias_all_vs_theta_nominal_deg,14.649613784878838
bias_high_vs_theta_nominal_deg,13.882431656660913
