snapshot_time,theta_rad,theta_deg,zeta_wall,status,quality_tier,estimator_source
1,-3.11017672705,-178.2,0.00444306276848,high,high,local_quadratic
1,-3.04734487398,-174.6,0.00444451070767,high,high,local_quadratic
1,-2.98451302091,-171,0.00444360899594,high,high,local_quadratic
1,-2.92168116784,-167.4,0.00444158585121,high,high,local_quadratic
1,-2.85884931477,-163.8,0.00444202561577,high,high,local_quadratic
1,-2.79601746169,-160.2,0.00444272053981,high,high,local_quadratic
1,-2.73318560862,-156.6,0.00444004183728,wide_ci,low,local_quadratic
1,-2.67035375555,-153,0.00443727545203,wide_ci,low,local_quadratic
1,-2.60752190248,-149.4,0.00443935260124,high,high,local_quadratic
1,-2.54469004941,-145.8,0.00443893727,warn,medium,local_quadratic
1,-2.48185819634,-142.2,0.00443821337118,warn,medium,local_quadratic
1,-2.41902634326,-138.6,0.00443683212827,warn,medium,local_quadratic
1,-2.35619449019,-135,0.0044363835404,wide_ci,low,local_quadratic
1,-2.29336263712,-131.4,0.00443659184459,warn,medium,local_quadratic
1,-2.23053078405,-127.8,0.00443796231198,warn,medium,local_quadratic
1,-2.16769893098,-124.2,0.00443886125078,warn,medium,local_quadratic
1,-2.10486707791,-120.6,0.00443919826096,high,high,local_quadratic
1,-2.04203522483,-117,0.00443700262404,wide_ci,low,local_quadratic
1,-1.97920337176,-113.4,0.00443974654428,high,high,local_quadratic
1,-1.91637151869,-109.8,0.00444268220142,high,high,local_quadratic
1,-1.85353966562,-106.2,0.00444235405077,high,high,local_quadratic
1,-1.79070781255,-102.6,0.00444223827155,high,high,local_quadratic
1,-1.72787595947,-99,0.00444455459676,high,high,local_quadratic
1,-1.6650441064,-95.4,0.00444571719769,high,high,local_quadratic
1,-1.60221225333,-91.8,0.00444458451561,high,high,local_quadratic
1,-1.53938040026,-88.2,0.0044445615862,high,high,local_quadratic
1,-1.47654854719,-84.6,0.00444566372124,high,high,local_quadratic
1,-1.41371669412,-81,0.00444460888874,high,high,local_quadratic
1,-1.35088484104,-77.4,0.0044424811664,high,high,local_quadratic
1,-1.28805298797,-73.8,0.00444267509881,high,high,local_quadratic
1,-1.2252211349,-70.2,0.00444316078895,high,high,local_quadratic
1,-1.16238928183,-66.6,0.00444036509652,high,high,local_quadratic
1,-1.09955742876,-63,0.00443750050586,warn,medium,local_quadratic
1,-1.03672557568,-59.4,0.00443950949598,high,high,local_quadratic
1,-0.973893722613,-55.8,0.00443899393667,warn,medium,local_quadratic
1,-0.911061869541,-52.2,0.00443833160222,warn,medium,local_quadratic
1,-0.848230016469,-48.6,0.00443703853244,warn,medium,local_quadratic
1,-0.785398163397,-45,0.00443671718767,warn,medium,local_quadratic
1,-0.722566310326,-41.4,0.00443706787732,warn,medium,local_quadratic
1,-0.659734457254,-37.8,0.00443847831006,warn,medium,local_quadratic
1,-0.596902604182,-34.2,0.00443914282025,warn,medium,local_quadratic
1,-0.53407075111,-30.6,0.00443939024333,high,high,local_quadratic
1,-0.471238898038,-27,0.00443719530053,wide_ci,low,local_quadratic
1,-0.408407044967,-23.4,0.00443987092888,high,high,local_quadratic
1,-0.345575191895,-19.8,0.00444282723707,high,high,local_quadratic
1,-0.282743338823,-16.2,0.00444249223595,high,high,local_quadratic
1,-0.219911485751,-12.6,0.00444238670519,high,high,local_quadratic
1,-0.157079632679,-9,0.00444502186311,high,high,local_quadratic
1,-0.0942477796077,-5.4,0.00444624112355,high,high,local_quadratic
1,-0.0314159265359,-1.8,0.00444480063347,high,high,local_quadratic
1,0.0314159265359,1.8,0.00444459307712,high,high,local_quadratic
1,0.0942477796077,5.4,0.00444552302611,high,high,local_quadratic
1,0.157079632679,9,0.00444451590591,high,high,local_quadratic
1,0.219911485751,12.6,0.00444260598593,high,high,local_quadratic
1,0.282743338823,16.2,0.00444304134667,high,high,local_quadratic
1,0.345575191895,19.8,0.00444345413115,high,high,local_quadratic
1,0.408407044967,23.4,0.00444042563584,warn,medium,local_quadratic
1,0.471238898038,27,0.00443746570196,wide_ci,low,local_quadratic
1,0.53407075111,30.6,0.00443944879586,high,high,local_quadratic
1,0.596902604182,34.2,0.00443896932846,warn,medium,local_quadratic
1,0.659734457254,37.8,0.00443844369922,warn,medium,local_quadratic
1,0.722566310326,41.4,0.00443719012577,warn,medium,local_quadratic
1,0.785398163397,45,0.00443667947693,wide_ci,low,local_quadratic
1,0.848230016469,48.6,0.00443653024131,warn,medium,local_quadratic
1,0.911061869541,52.2,0.0044374439004,warn,medium,local_quadratic
1,0.973893722613,55.8,0.00443821333051,warn,medium,local_quadratic
1,1.03672557568,59.4,0.00443883540783,high,high,local_quadratic
1,1.09955742876,63,0.00443665091733,warn,medium,local_quadratic
1,1.16238928183,66.6,0.00443848859848,warn,medium,local_quadratic
1,1.2252211349,70.2,0.00444032267074,high,high,local_quadratic
1,1.28805298797,73.8,0.00443995739698,high,high,local_quadratic
1,1.35088484104,77.4,0.00444078694375,high,high,local_quadratic
1,1.41371669412,81,0.00444273362987,high,high,local_quadratic
1,1.47654854719,84.6,0.00444338996183,high,high,local_quadratic
1,1.53938040026,88.2,0.00444177990728,high,high,local_quadratic
1,1.60221225333,91.8,0.00444177466644,high,high,local_quadratic
1,1.6650441064,95.4,0.00444298980882,high,high,local_quadratic
1,1.72787595947,99,0.00444179739135,high,high,local_quadratic
1,1.79070781255,102.6,0.00443948895905,high,high,local_quadratic
1,1.85353966562,106.2,0.00443979957434,high,high,local_quadratic
1,1.91637151869,109.8,0.00444065257023,high,high,local_quadratic
1,1.97920337176,113.4,0.00443837332865,high,high,local_quadratic
1,2.04203522483,117,0.00443597347255,wide_ci,low,local_quadratic
1,2.10486707791,120.6,0.00443822968803,high,high,local_quadratic
1,2.16769893098,124.2,0.00443796182353,warn,medium,local_quadratic
1,2.23053078405,127.8,0.00443744753312,warn,medium,local_quadratic
1,2.29336263712,131.4,0.00443614965676,warn,medium,local_quadratic
1,2.35619449019,135,0.00443575211187,wide_ci,low,local_quadratic
1,2.41902634326,138.6,0.00443584502182,warn,medium,local_quadratic
1,2.48185819634,142.2,0.00443692670497,warn,medium,local_quadratic
1,2.54469004941,145.8,0.00443768318976,warn,medium,local_quadratic
1,2.60752190248,149.4,0.00443845470434,high,high,local_quadratic
1,2.67035375555,153,0.00443670684455,wide_ci,low,local_quadratic
1,2.73318560862,156.6,0.00443961467556,high,high,local_quadratic
1,2.79601746169,160.2,0.00444208676504,high,high,local_quadratic
1,2.85884931477,163.8,0.00444118752224,high,high,local_quadratic
1,2.92168116784,167.4,0.00444068211287,high,high,local_quadratic
1,2.98451302091,171,0.00444276185884,high,high,local_quadratic
1,3.04734487398,174.6,0.00444394876192,high,high,local_quadratic
1,3.11017672705,178.2,0.00444295943841,high,high,local_quadratic
