snapshot_time,theta_rad,theta_deg,zeta_wall,status,quality_tier,estimator_source
5,-3.11017672705,-178.2,0.00386262528829,wide_ci,low,local_quadratic
5,-3.04734487398,-174.6,0.00385823971136,warn,medium,local_quadratic
5,-2.98451302091,-171,0.00385825583223,warn,medium,local_quadratic
5,-2.92168116784,-167.4,0.00384855674193,warn,medium,local_quadratic
5,-2.85884931477,-163.8,0.00383466005058,wide_ci,low,local_quadratic
5,-2.79601746169,-160.2,0.00382483101305,wide_ci,low,local_quadratic
5,-2.73318560862,-156.6,0.00381541109383,wide_ci,low,local_quadratic
5,-2.67035375555,-153,0.00381302851277,wide_ci,low,local_quadratic
5,-2.60752190248,-149.4,0.00380402597336,wide_ci,low,local_quadratic
5,-2.54469004941,-145.8,0.00379528516825,wide_ci,low,local_quadratic
5,-2.48185819634,-142.2,0.00379457767721,high,high,local_quadratic
5,-2.41902634326,-138.6,0.00379158590231,wide_ci,low,local_quadratic
5,-2.35619449019,-135,0.00378600330836,wide_ci,low,local_quadratic
5,-2.29336263712,-131.4,0.0037808353395,high,high,local_quadratic
5,-2.23053078405,-127.8,0.00377137676984,wide_ci,low,local_quadratic
5,-2.16769893098,-124.2,0.00376046012769,wide_ci,low,local_quadratic
5,-2.10486707791,-120.6,0.00375844692391,warn,medium,local_quadratic
5,-2.04203522483,-117,0.00375498068854,wide_ci,low,local_quadratic
5,-1.97920337176,-113.4,0.00375024337097,warn,medium,local_quadratic
5,-1.91637151869,-109.8,0.00374734491988,warn,medium,local_quadratic
5,-1.85353966562,-106.2,0.00373888061293,high,high,local_quadratic
5,-1.79070781255,-102.6,0.003743794305,high,high,local_quadratic
5,-1.72787595947,-99,0.00374094361877,high,high,local_quadratic
5,-1.6650441064,-95.4,0.0037370682126,high,high,local_quadratic
5,-1.60221225333,-91.8,0.00373853213274,high,high,local_quadratic
5,-1.53938040026,-88.2,0.00373706775184,warn,medium,local_quadratic
5,-1.47654854719,-84.6,0.00373437678195,high,high,local_quadratic
5,-1.41371669412,-81,0.00373646851833,high,high,local_quadratic
5,-1.35088484104,-77.4,0.0037361836719,warn,medium,local_quadratic
5,-1.28805298797,-73.8,0.00373032864748,high,high,local_quadratic
5,-1.2252211349,-70.2,0.0037349458233,warn,medium,local_quadratic
5,-1.16238928183,-66.6,0.00373898485849,warn,medium,local_quadratic
5,-1.09955742876,-63,0.00375061564255,warn,medium,local_quadratic
5,-1.03672557568,-59.4,0.00375359919542,warn,medium,local_quadratic
5,-0.973893722613,-55.8,0.0037527541169,high,high,local_quadratic
5,-0.911061869541,-52.2,0.00375892853051,high,high,local_quadratic
5,-0.848230016469,-48.6,0.00376880223121,warn,medium,local_quadratic
5,-0.785398163397,-45,0.00377181516913,warn,medium,local_quadratic
5,-0.722566310326,-41.4,0.00377555483454,wide_ci,low,local_quadratic
5,-0.659734457254,-37.8,0.00377595158168,wide_ci,low,local_quadratic
5,-0.596902604182,-34.2,0.00377486172103,wide_ci,low,local_quadratic
5,-0.53407075111,-30.6,0.00378469752843,wide_ci,low,local_quadratic
5,-0.471238898038,-27,0.00380094824778,wide_ci,low,local_quadratic
5,-0.408407044967,-23.4,0.00380684041211,wide_ci,low,local_quadratic
5,-0.345575191895,-19.8,0.00381694924749,wide_ci,low,local_quadratic
5,-0.282743338823,-16.2,0.00382397357493,wide_ci,low,local_quadratic
5,-0.219911485751,-12.6,0.00383317484994,wide_ci,low,local_quadratic
5,-0.157079632679,-9,0.00382988231683,wide_ci,low,local_quadratic
5,-0.0942477796077,-5.4,0.00382583622125,high,high,local_quadratic
5,-0.0314159265359,-1.8,0.00382753353118,wide_ci,low,local_quadratic
5,0.0314159265359,1.8,0.00382588320267,wide_ci,low,local_quadratic
5,0.0942477796077,5.4,0.00382443490355,wide_ci,low,local_quadratic
5,0.157079632679,9,0.00382931074586,high,high,local_quadratic
5,0.219911485751,12.6,0.00383567221772,wide_ci,low,local_quadratic
5,0.282743338823,16.2,0.00382864146507,wide_ci,low,local_quadratic
5,0.345575191895,19.8,0.00382410387081,wide_ci,low,local_quadratic
5,0.408407044967,23.4,0.00381835420435,wide_ci,low,local_quadratic
5,0.471238898038,27,0.00381722487263,wide_ci,low,local_quadratic
5,0.53407075111,30.6,0.00380509355538,wide_ci,low,local_quadratic
5,0.596902604182,34.2,0.003792562627,wide_ci,low,local_quadratic
5,0.659734457254,37.8,0.00379002108359,high,high,local_quadratic
5,0.722566310326,41.4,0.00378749867097,wide_ci,low,local_quadratic
5,0.785398163397,45,0.00378193081664,warn,medium,local_quadratic
5,0.848230016469,48.6,0.00377643210774,warn,medium,local_quadratic
5,0.911061869541,52.2,0.00376738942804,wide_ci,low,local_quadratic
5,0.973893722613,55.8,0.00375541911445,warn,medium,local_quadratic
5,1.03672557568,59.4,0.00375584487324,warn,medium,local_quadratic
5,1.09955742876,63,0.00375591378118,wide_ci,low,local_quadratic
5,1.16238928183,66.6,0.00375176448402,warn,medium,local_quadratic
5,1.2252211349,70.2,0.00374921733311,warn,medium,local_quadratic
5,1.28805298797,73.8,0.00374841474431,high,high,local_quadratic
5,1.35088484104,77.4,0.00375251223158,warn,medium,local_quadratic
