snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
0,-3.11017672705,-178.2,0.00414878949333,-0.0983101018067,95.614711804,89.1260548573,102.600431029,13.4743761722,339.542283437,1021.57511176,1.18926354042,75,47,0.000298474216834,high,high,local_quadratic,0,0,0,0,0,1,1
0,-3.04734487398,-174.6,0.00414899664003,-0.10334714091,95.9004078032,93.0688811404,98.1878208563,5.11893971586,344.142712785,1021.57511176,5.10887655906,86,64,0.000296217855066,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.98451302091,-171,0.00414979936764,0.0159686786052,89.0851398689,83.7849904756,93.1143221272,9.32933165158,409.604665128,1021.57511176,8.14573231558,85,71,0.000324120977893,warn,medium,local_quadratic,0,0,0,0,0,0,1
0,-2.92168116784,-167.4,0.00415071608773,0.0996000014915,84.3120990732,79.0006127947,90.0234483706,11.0228355759,420.667806181,1021.57511176,4.65445970022,77,70,0.000324116786942,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.85884931477,-163.8,0.00415040850225,0.0192501562766,88.8971834999,84.4424425374,93.7985968947,9.35615435733,388.101330737,1021.57511176,2.42199261705,80,75,0.000321407569572,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.79601746169,-160.2,0.00414943329157,-0.0602772002469,93.4494555325,88.3088369633,98.2648527963,9.95601583307,373.409454102,1021.57511176,0.688242102514,78,70,0.000321428989992,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.73318560862,-156.6,0.00414892558778,-0.0998374394675,95.7013711749,92.6408411751,98.0407171555,5.39987598035,379.707602977,1021.57511176,4.10959532505,76,67,0.000323452055454,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.67035375555,-153,0.00414944903577,-0.0779333569499,94.4562451733,89.171936465,99.7096350834,10.5376986183,364.463401652,1021.57511176,0.578199593729,77,70,0.000323446001858,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.60752190248,-149.4,0.00415063288601,-0.0030719023102,90.1760064838,84.2228774164,95.2924208412,11.0695434248,372.460813651,1021.57511176,2.41286955635,73,70,0.000321167288348,high,high,local_quadratic,0,0,0,0,0,1,1
0,-2.54469004941,-145.8,0.00415096284394,0.00660032500804,89.6218347251,87.3607050864,92.6502780505,5.28957296405,357.1914014,1021.57511176,8.16831217024,69,67,0.000304639572278,warn,medium,local_quadratic,0,0,0,0,0,0,1
