metric,value
snapshot_time,0.0
quality_profile,balanced
theta_nominal_deg,110.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,91
num_tier_medium,9
num_tier_low,0
num_samples_ok,91
num_samples_used_for_stats,100
contact_angle_all_mean_deg,89.36095830717245
contact_angle_all_q1_deg,85.82258611347211
contact_angle_all_median_deg,89.59879052169444
contact_angle_all_q3_deg,92.71659836113452
contact_angle_all_min_deg,76.54863791413823
contact_angle_all_max_deg,97.74024887975328
contact_angle_high_mean_deg,89.21712967972408
contact_angle_high_q1_deg,85.81289185772027
contact_angle_high_median_deg,89.3090879533525
contact_angle_high_q3_deg,92.72298884589793
contact_angle_high_min_deg,76.54863791413823
contact_angle_high_max_deg,97.74024887975328
contact_angle_high_medium_mean_deg,89.36095830717245
contact_angle_high_medium_q1_deg,85.82258611347211
contact_angle_high_medium_median_deg,89.59879052169444
contact_angle_high_medium_q3_deg,92.71659836113452
contact_angle_high_medium_min_deg,76.54863791413823
contact_angle_high_medium_max_deg,97.74024887975328
contact_angle_mean_deg,89.36095830717245
contact_angle_q1_deg,85.82258611347211
contact_angle_median_deg,89.59879052169444
contact_angle_q3_deg,92.71659836113452
contact_angle_min_deg,76.54863791413823
contact_angle_max_deg,97.74024887975328
bias_all_vs_theta_nominal_deg,-20.639041692827547
bias_high_vs_theta_nominal_deg,-20.78287032027592
