metric,value
snapshot_time,7.0
quality_profile,balanced
theta_nominal_deg,110.0
num_samples_total,100
num_samples_computed,100
num_samples_invalid,0
num_tier_high,0
num_tier_medium,100
num_tier_low,0
num_samples_ok,0
num_samples_used_for_stats,100
contact_angle_all_mean_deg,98.45891151427108
contact_angle_all_q1_deg,97.5438702982174
contact_angle_all_median_deg,98.42944349046948
contact_angle_all_q3_deg,99.37670485468301
contact_angle_all_min_deg,97.1308575466041
contact_angle_all_max_deg,99.8408002977263
contact_angle_high_medium_mean_deg,98.45891151427108
contact_angle_high_medium_q1_deg,97.5438702982174
contact_angle_high_medium_median_deg,98.42944349046948
contact_angle_high_medium_q3_deg,99.37670485468301
contact_angle_high_medium_min_deg,97.1308575466041
contact_angle_high_medium_max_deg,99.8408002977263
contact_angle_mean_deg,98.45891151427108
contact_angle_q1_deg,97.5438702982174
contact_angle_median_deg,98.42944349046948
contact_angle_q3_deg,99.37670485468301
contact_angle_min_deg,97.1308575466041
contact_angle_max_deg,99.8408002977263
bias_all_vs_theta_nominal_deg,-11.54108848572892
